FL | INFO flwr 2024-06-26 18:05:44,799 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-26 18:05:44,813 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-26 18:05:44,813 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-26 18:05:44,813 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-26 18:05:44,813 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-26 18:21:34,042 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-26 18:21:34,104 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-26 18:21:34,104 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-26 18:21:34,104 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-26 18:21:34,104 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-26 18:27:51,713 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-26 18:27:51,783 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-26 18:27:51,784 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-26 18:27:51,784 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-26 18:27:51,784 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-26 18:33:34,339 | server.py:94 | initial parameters (loss, other metrics): 0.29551976764834176, {'accuracy': 0.06165228113440197}
FL | INFO flwr 2024-06-26 18:33:34,341 | server.py:104 | FL starting
FL | INFO flwr 2024-06-26 18:37:56,047 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-26 18:37:56,122 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-26 18:37:56,122 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-26 18:37:56,122 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-26 18:37:56,122 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-26 19:09:42,885 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-26 19:09:42,953 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-26 19:09:42,954 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-26 19:09:42,954 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-26 19:09:42,954 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-26 19:15:35,300 | server.py:94 | initial parameters (loss, other metrics): 0.29204242738048775, {'accuracy': 0.18495684340320592}
FL | INFO flwr 2024-06-26 19:15:35,308 | server.py:104 | FL starting
FL | INFO flwr 2024-06-26 19:21:57,698 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-26 19:21:57,752 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-26 19:21:57,752 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-26 19:21:57,752 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-26 19:21:57,753 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-27 11:17:54,230 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-27 11:17:54,286 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-27 11:17:54,286 | server.py:89 | Initializing global parameters
